SMILES,MLM
O/N=C(\NC1CCCCC1)c1ccc(-c2ccccc2)cc1,280000
CCCCCC(C)NCc1coc(-c2ccc(OCc3ccccc3)cc2)n1,9000
O/N=C(/NC1CCCCC1)c1cccc2ccccc12,168000
CCCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,11000
CCCCCC(C)NCc1coc(-c2ccc(Oc3ccccc3)cc2)n1,28000
CC(C)(C)c1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,11000
CCCCc1ccc(-c2nc(CNCc3ccc(OC)cc3)co2)cc1,16000
CCCCCC(C)NCc1coc(-c2cccc(Oc3ccccc3)c2)n1,14000
COc1ccccc1CNC(CCc1ccccc1)c1nc(-c2ccccc2)c(N2CCOCC2)o1,344000
c1ccc(-c2ccc(-c3nc(CNC4CCCCCC4)co3)cc2)cc1,10000
COc1cc(C)ccc1Oc1ncccc1/C(=N/O)NC1CCCCC1,76000
COc1ccc(CNC(CCc2ccccc2)c2nc(Cc3ccccc3)c(N3CCCCC3)o2)cc1OC,354000
CCCCCC(C)NCc1coc(-c2ccc(-c3ccccc3)cc2)n1,5000
CC(C)(C)CN/C(=N\O)c1ccccc1-c1ccccc1,78000
CCCCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,8000
CCC(C)C(NCc1ccc(C)cc1)c1nc(Cc2ccccc2)c(N2CCOCC2)o1,378000
CC(C)CNC(CCc1ccccc1)c1nc(Cc2ccccc2)c(N2CCCCC2)o1,307000
Cc1ccc(/C(=N/O)NC2CCCCC2)c(Oc2ccc(C(C)(C)C)cc2)n1,98830
CCCCc1ccc(-c2nc(CNCCN(C)C)co2)cc1,55000
CCCCCC(C)NCc1coc(-c2ccc(OCCc3ccccc3)cc2)n1,39000
CCCCCC(C)NCc1coc(-c2ccc(OCC(=O)c3ccccc3)cc2)n1,188000
CCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,50000
COc1ccccc1/C(=N/O)NC1CCCCC1,40000
CCc1ccc(Oc2ncccc2/C(=N\O)NC2CCCCC2O)cc1,51000
CCCCCC(C)NCc1coc(Cc2ccc(OC)cc2)n1,55000
Cc1ccc(Cc2ccccc2/C(=N/O)NC2CCCCC2)cc1,318000
CCCCCC(C)NCc1coc(-c2ccc(OC3CCCC3)cc2)n1,13000
CCCCCC(C)NCc1coc(-c2ccc(OCCCC)c(F)c2)n1,11000
COc1ccc(/C(=N/O)NC2CCCCC2)cc1,329000
CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,74000
Cc1ccc(Oc2ncccc2/C(=N/O)NC2CCCCC2)cc1,244610
Cc1cccc(CNC(c2ccccc2)c2nc(Cc3ccccc3)c(N3CCOCC3)o2)c1,217000
CCCCCC(C)NCc1coc(-c2ccc(C(C)C)cc2)n1,36000
Cc1ccc(/C(=N/O)NC2CCCCC2)c(Oc2c(F)cccc2F)n1,255000
CCCCCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,27000
CCCCCC(C)NCc1coc(-c2ccc(OCCC)cc2)n1,31000
CCCCc1ccc(-c2nc(CNCc3cccnc3)co2)cc1,44000
CCCCc1ccc(-c2nc(CN3CCN(C)CC3)co2)cc1,31000
CCCCCC(C)NCc1coc(-c2ccc(OCC)cc2)n1,36000
CCCCc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,114000
CCCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,6000
CCCCCC(C)NCc1coc(-c2ccc(OCc3ccc(Cl)cc3)cc2)n1,21000
CCCCCC(C)NCc1coc(-c2ccc(OC3CCCCC3)cc2)n1,13000
CCCCCC(C)NCc1coc(-c2ccc(OCC(C)(C)C)cc2)n1,12000
CCCCCC(C)NCc1coc(-c2ccc(Oc3ccc(C)cc3)cc2)n1,12000
CCc1ccc(/C(=N/O)NC2CCCCC2)cc1,210000
CCCCc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,63000
O/N=C(\NCC1CC1)c1ccccc1-c1ccccc1,93000
CCCCc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,138000
CCCCCC(C)NCc1coc(-c2ccc(Oc3ccc(Cl)cc3)cc2)n1,3000
O/N=C(/NC1CCCCC1)c1cccnc1Oc1ccc(Cl)cc1,367000
O/N=C(\NC1CCCCC1)c1c(F)cccc1F,8000
CCCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,12000
CC1(C)[C@H]2CC[C@@H](CNCc3coc(-c4ccc(-c5ccccc5)cc4)n3)[C@@H]1C2,11000
O/N=C(\NC1CCCCC1)c1cccnc1Oc1c(F)cccc1F,351000
Cc1ccc(CNC(CC(C)C)c2nc(Cc3ccccc3)c(N3CCOCC3)o2)cc1,155000
CCCCc1ccc(-c2nc(CNCC)co2)cc1,76000
CCc1ccc(Oc2ncccc2/C(=N\O)NC2CCCC[C@H]2N)cc1,2000
CC(C)Oc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,12000
O/N=C(/NC1CCCCC1)c1cccnc1Oc1ccc(F)cc1,389000
O/N=C(/c1ccccc1-c1ccccc1)N1CCCCC1,157000
CCCCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,9000
COc1ccc(/C(CNC2CCCCC2)=N/O)cc1,235000
CCCCc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,17000
CCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,95000
COc1ccccc1CNC(CCc1ccccc1)c1nc(Cc2ccccc2)c(N2CCCCC2)o1,487000
CCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,30000
CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,23000
COc1ccc(/C(=N/O)Nc2cccc(C(F)(F)F)c2)cc1,319000
CCCCCC(C)NCc1coc(-c2ccc(OCCCC)cc2)n1,12000
CCCCCC(C)NCc1coc(-c2ccc(OCCCC)cc2)n1,10000
CC(C)(C)c1ccc(Oc2ncccc2/C(=N/O)Nc2cccc(F)c2)cc1,35830
O/N=C(\Nc1ccccc1)c1ccccc1-c1ccccc1,338000
COc1ccc(N/C(=N/O)c2ccc(OC)cc2)cc1,376000
CCCCc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,4000
CCCCOc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,12000
CCc1ccccc1/C(=N\O)NC1CCCCC1,128000
O/N=C(\CNC1CCCCC1)c1ccccc1,55000
O/N=C(\NC1CCCCC1)c1cccnc1,12000
CCCCCC(C)NCc1coc(-c2ccc(CCCC)cc2)n1,12000
O/N=C(\NC1CCCCC1)c1ccccc1,111000
CCCCc1ccc(-c2nc(CNC(C)C)co2)cc1,50000
CCCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,8000
CCCCc1ccc(-c2nc(CNCc3c(OC)cccc3OC)co2)cc1,65000
CCCCc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,5000
CCCCc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,4000
CC1(C)[C@H]2CC[C@@H](CNCc3coc(-c4ccc(-c5ccccc5)cc4)n3)[C@@H]1C2,25000
O/N=C(/Nc1ccc(F)cc1)c1ccccc1-c1ccccc1,59000
O/N=C(\NC1CCCCC1)c1ccccc1Cc1ccccc1,381000
CC(C)Oc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,45000
COc1ccc(N/C(=N/O)c2ccccc2-c2ccccc2)cc1,166000
O/N=C(\NC1CCCCC1)c1ccc(F)cc1,53000
CCCCc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,16000
CCC(C)C(NCc1ccco1)c1nc(-c2ccccc2)c(N2CCCCC2)o1,206000
CCCCCC(C)NCc1coc(-c2ccc(OC(CC)CC)cc2)n1,2000
CCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,102000
CCCCCOc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,11000
CCCCCC(C)NCc1coc(-c2ccc(OCc3ccc(C)cc3)cc2)n1,13000
CCCCCC(C)NCc1coc(-c2ccc(Oc3ccc(F)cc3)cc2)n1,13000
CCOCCCNC(c1nc(-c2ccccc2)c(N2CCCCC2)o1)C(C)CC,255000
