SMILES,HLM
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,5.151129026
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,58.01266121
CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,20.0945374
C=CCOc1ccc(CC(=O)O)cc1Cl,27.11181032
C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,-3.503205903
NC(=O)NC1NC(=O)[N-]C1=O.[Al+3].[Al+3].[Cl-].[OH-].[OH-].[OH-].[OH-],-25.26695519
CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,59.42388219
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,-0.002867271
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,57.43462339
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,48.95778252
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,63.2245272
CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,26.58683037
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,113.8739018
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,19.35654953
NC(=O)NC1NC(=O)NC1=O,-25.85210131
O=C1c2c(O)cccc2C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,18.95043872
Oc1ncnc2[nH]ncc12,16.80858646
O.[Al+3].[Al+3].[Mg+2].[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-],-6.446684387
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,79.8208714
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,20.11087391
Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,-13.54070841
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,36.24270153
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,48.29099183
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,2.713206424
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,-6.828279984
CN(C)c1nc(N(C)C)nc(N(C)C)n1,77.70168045
[Al],-11.18972141
O=P([O-])([O-])[O-].[Al+3],-16.3003271
CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Al+3],-23.25719247
Cl[Al](Cl)Cl,23.92403261
O.[Al+3].[Al+3].[Cl-].[OH-].[OH-].[OH-].[OH-].[OH-],-5.832518666
[Al+3].[OH-].[OH-].[OH-],0.39853687
[Al+3].[Al+3].[O-2].[O-2].[O-2],1.239208354
CC(=O)O[Al](O)OC(C)=O,22.60914893
O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[Al+3],-28.93044152
NCC(=O)[O-].O.O.[Al+3].[Cl-].[Zr+4],-26.81933484
CCN(CCCc1ccccc1)CCCc1ccccc1,26.95767495
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,20.92594675
NC12CC3CC(CC(C3)C1)C2,-21.93784465
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,68.00328333
COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,14.41119214
Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,-12.96969226
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,81.7935287
Nc1ccncc1N,-16.79783692
NCCCNCCSP(=O)(O)O,-50.60043784
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,2.245666963
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,3.807383201
COc1ccc(/C=C/C(=O)OCCC(C)C)cc1,112.3165738
Nc1ccc(C(=O)O)cc1,-4.517627228
NCCCCCC(=O)O,-50.39517685
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,-23.41613642
Nc1ccc(C(=O)NCC(=O)O)cc1,-15.91460599
NCC(=O)CCC(=O)O,-39.81207254
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,45.20157072
Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN,-23.88741055
Nc1ccc(C(=O)O)c(O)c1,-10.19040704
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,41.17868914
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,-10.55364097
CN(C)CCC=C1c2ccccc2CCc2ccccc21,8.50045003
C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21,26.44157639
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,-3.167292912
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,86.14504375
[13NH3],-18.94253402
O=C([O-])[O-].[NH4+].[NH4+],-24.49195358
[Cl-].[NH4+],-7.777800595
CC(O)C(=O)[O-].[NH4+],-45.69087333
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-0.150429125
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,79.93568527
CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,53.24857142
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,-8.678066699
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,8.964283677
CC(N)Cc1ccccc1,-21.41077164
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,-0.823160657
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,14.37916068
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,104.9748497
Nc1cc(-c2ccncc2)c[nH]c1=O,-16.65078734
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,49.18528394
CCCCCON=O,35.24299282
CCCCCc1ccc(C)cc1O,100.6227845
CCC(C)(CN(C)C)OC(=O)c1ccccc1,49.04854291
O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,23.34897439
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,14.3385532
C/C=C/c1ccc(OC)cc1,55.64804408
COc1ccc(-c2cc(=S)ss2)cc1,67.42980464
